Time,Value
11.06,106.046
11.08,110.142
11.1,111.877
11.12,111.227
11.14,108.225
11.16,102.962
11.18,95.582
11.2,86.281
11.22,75.301
11.24,62.926
11.26,49.47
11.28,35.272
11.3,20.685
11.32,6.066
11.34,-8.231
11.36,-21.871
11.38,-34.54
11.4,-45.955
11.42,-55.875
11.44,-64.101
11.46,-70.485
11.48,-74.926
11.5,-77.378
11.52,-77.845
11.54,-76.38
11.56,-73.081
11.58,-68.087
11.6,-61.571
11.62,-53.737
11.64,-44.81
11.66,-35.032
11.68,-24.654
11.7,-13.931
11.72,-3.113
11.74,7.555
11.76,17.841
11.78,27.53
11.8,36.426
11.82,44.355
11.84,51.168
11.86,56.739
11.88,60.972
11.9,63.795
11.92,65.163
11.94,65.06
11.96,63.495
11.98,60.503
12.0,56.144
12.02,50.502
12.04,43.684
12.06,35.817
12.08,27.047
12.1,17.536
12.12,7.461
12.14,-2.989
12.16,-13.619
12.18,-24.227
12.2,-34.613
12.22,-44.577
12.24,-53.925
12.26,-62.474
12.28,-70.055
12.3,-76.513
12.32,-81.717
12.34,-85.554
12.36,-87.937
12.38,-88.808
12.4,-88.131
12.42,-85.901
12.44,-82.141
12.46,-76.897
12.48,-70.245
12.5,-62.281
12.52,-53.126
12.54,-42.917
12.56,-31.81
12.58,-19.971
12.6,-7.578
12.62,5.185
12.64,18.131
12.66,31.074
12.68,43.829
12.7,56.218
12.72,68.074
12.74,79.236
12.76,89.561
12.78,98.917
12.8,107.191
12.82,114.285
12.84,120.119
12.86,124.633
12.88,127.783
12.9,129.546
12.92,129.913
12.94,128.896
12.96,126.521
12.98,122.83
13.0,117.878
13.02,111.736
13.04,104.483
13.06,96.211
13.08,87.019
13.1,77.017
13.12,66.317
13.14,55.039
13.16,43.305
13.18,31.238
13.2,18.966
13.22,6.612
13.24,-5.7
13.26,-17.848
13.28,-29.714
13.3,-41.186
13.32,-52.156
13.34,-62.522
13.36,-72.189
13.38,-81.071
13.4,-89.09
13.42,-96.177
13.44,-102.272
13.46,-107.325
13.48,-111.297
13.5,-114.16
13.52,-115.896
13.54,-116.501
13.56,-115.977
13.58,-114.343
13.6,-111.626
13.62,-107.865
13.64,-103.108
13.66,-97.416
13.68,-90.858
13.7,-83.512
13.72,-75.466
13.74,-66.814
13.76,-57.656
13.78,-48.099
13.8,-38.253
13.82,-28.234
13.84,-18.155
13.86,-8.133
13.88,1.716
13.9,11.279
13.92,20.447
13.94,29.116
13.96,37.186
13.98,44.566
14.0,51.173
14.02,56.933
14.04,61.783
14.06,65.668
14.08,68.549
14.1,70.393
14.12,71.184
14.14,70.914
14.16,69.592
14.18,67.234
14.2,63.872
14.22,59.549
14.24,54.319
14.26,48.248
14.28,41.414
14.3,33.907
14.32,25.827
14.34,17.285
14.36,8.403
14.38,-0.688
14.4,-9.845
14.42,-18.921
14.44,-27.758
14.46,-36.193
14.48,-44.062
14.5,-51.197
14.52,-57.432
14.54,-62.609
14.56,-66.577
14.58,-69.198
14.6,-70.355
14.62,-69.951
14.64,-67.921
14.66,-64.227
14.68,-58.873
14.7,-51.9
14.72,-43.395
14.74,-33.488
14.76,-22.353
14.78,-10.21
14.8,2.682
14.82,16.025
14.84,29.493
14.86,42.738
14.88,55.397
14.9,67.106
14.92,77.508
14.94,86.267
14.96,93.078
14.98,97.679
15.0,99.862
15.02,99.48
15.04,96.455
15.06,90.786
15.08,82.545
15.1,71.883
15.12,59.026
15.14,44.265
15.16,27.957
15.18,10.507
15.2,-7.641
15.22,-26.017
15.24,-44.139
15.26,-61.529
15.28,-77.726
15.3,-92.3
15.32,-104.869
15.34,-115.102
15.36,-122.736
15.38,-127.578
15.4,-129.511
15.42,-128.497
15.44,-124.574
15.46,-117.854
15.48,-108.521
15.5,-96.817
15.52,-83.04
15.54,-67.531
15.56,-50.661
15.58,-32.826
15.6,-14.431
15.62,4.123
15.64,22.441
15.66,40.153
15.68,56.914
15.7,72.419
15.72,86.4
15.74,98.636
15.76,108.954
15.78,117.228
15.8,123.383
15.82,127.39
15.84,129.262
15.86,129.056
15.88,126.866
15.9,122.815
15.92,117.056
15.94,109.763
15.96,101.126
15.98,91.347
16.0,80.634
16.02,69.198
16.04,57.245
16.06,44.979
16.08,32.59
16.1,20.26
16.12,8.155
16.14,-3.574
16.16,-14.796
16.18,-25.392
16.2,-35.267
16.22,-44.34
16.24,-52.548
16.26,-59.845
16.28,-66.202
16.3,-71.604
16.32,-76.047
16.34,-79.542
16.36,-82.11
16.38,-83.779
16.4,-84.587
16.42,-84.578
16.44,-83.799
16.46,-82.303
16.48,-80.144
16.5,-77.378
16.52,-74.061
16.54,-70.249
16.56,-65.996
16.58,-61.357
16.6,-56.381
16.62,-51.117
16.64,-45.611
16.66,-39.905
16.68,-34.039
16.7,-28.05
16.72,-21.973
16.74,-15.838
16.76,-9.677
16.78,-3.518
16.8,2.613
16.82,8.689
16.84,14.683
